Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Remove CSAR,10813,7,6,8,9,21,5,1065,0.000%,.04172,0.02,0.00
Add CSAR script,10813,7,7,8,9,14,5,2026,0.000%,.04172,0.02,0.00
Healthcheck,10813,1,1,2,2,3,0,86,0.000%,.04172,0.01,0.01
Statistics,10813,1,1,2,2,3,0,93,0.000%,.04172,0.01,0.01
CheckPDPGroupQuery,10813,246,195,395,546,981,33,7297,0.000%,.04172,0.11,0.01
Check Policy Deployed,10813,20,21,23,24,28,12,255,0.000%,.04172,0.02,0.01
Undeploy Policy ,10813,357,306,517,678,1118,195,7267,0.000%,.04172,0.01,0.01
Delete Policy,10813,394,335,587,782,1165,204,7176,0.000%,.04172,5.40,0.02
CheckPDPGroupQueryForDeletedPolicy,10812,230,180,379,537,930,17,5243,0.000%,.04172,0.11,0.01
TOTAL,97316,140,21,367,471,863,0,7297,0.000%,.37545,5.72,0.08
