Repo, Last Tag Version,Snapshot Version,Changed Files,Docker Images
policy/parent,3.7.1,3.7.2-SNAPSHOT,2,
policy/docker,2.6.1,2.6.2-SNAPSHOT,86,'policy-jre-alpine':'policy-jdk-alpine':'policy-db-migrator'
policy/common,1.12.1,1.12.2-SNAPSHOT,0,
policy/models,2.8.1,2.8.2-SNAPSHOT,2,'policy-models-simulator'
policy/api,2.8.1,2.8.2-SNAPSHOT,1,'policy-api'
policy/pap,2.8.1,2.8.2-SNAPSHOT,5,'policy-pap'
policy/apex-pdp,2.9.1,2.9.2-SNAPSHOT,1,'policy-apex-pdp'
policy/drools-pdp,1.12.1,1.12.2-SNAPSHOT,1,'policy-drools'
policy/xacml-pdp,2.8.1,2.8.2-SNAPSHOT,1,'policy-xacml-pdp'
policy/distribution,2.9.1,2.9.2-SNAPSHOT,1,'policy-distribution'
policy/clamp,6.4.1,6.4.2-SNAPSHOT,7,'policy-clamp-ac-pf-ppnt':'policy-clamp-ac-k8s-ppnt':'policy-clamp-ac-http-ppnt':'policy-clamp-ac-a1pms-ppnt':'policy-clamp-runtime-acm':'policy-clamp-acm-element-impl':'policy-clamp-ac-kserve-ppnt'
policy/gui,2.4.1,2.4.2-SNAPSHOT,1,'policy-gui'
policy/drools-applications,1.12.1,1.12.2-SNAPSHOT,0,'policy-pdpd-cl'
